np,nn,delta,I,betaMinusQ,betaMinusQUncertainty,halflife_log_sec,halflife_log_sec_uncertainty,J_i,parity_i,flag_i,J_f,parity_f,flag_f,delta_J,delta_parity
29,51,1,0.275,4.173186268412274,0.008744184199394331,-0.9457700901366027,0.024532080178118375,0.0,0,2,0.0,1,0,-1.0,0
51,91,1,0.28169014084507044,4.110589710299249,0.0196274172829144,-1.275724130399211,0.40971177538042625,0.0,0,2,0.0,1,0,-1.0,0
55,89,1,0.2361111111111111,3.928907690243953,0.0010435344441491563,-0.0030507515046188267,0.0030614918160350077,1.0,-1,1,0.0,1,0,1.0,-1
74,114,-1,0.2127659574468085,2.5428254269591797,0.003733190388853167,6.780182465458037,0.0003112329668218803,0.0,1,0,1.0,-1,0,1.0,-1
34,54,-1,0.22727272727272727,3.8344207036815328,0.00029313287870775856,0.17897694729316943,0.00862836719013083,0.0,1,0,1.0,-1,1,1.0,-1
13,23,1,0.2777777777777778,4.26245108973043,0.003915769918799812,-1.0457574905606752,0.19301976973477858,0.0,0,2,0.0,1,0,-1.0,0
59,92,0,0.2185430463576159,3.6190933306267428,0.0012110134591532982,1.276461804173244,0.001608498081123155,1.5,-1,1,1.5,1,0,0.0,-1
57,95,1,0.25,3.986323777050765,0.016179598345415262,-0.5257837359237448,0.02113177848186963,0.0,0,2,0.0,1,0,-1.0,0
10,20,-1,0.3333333333333333,4.1702617153949575,0.007424088102805588,-2.136677139879544,0.01784771843438021,0.0,1,0,2.0,1,0,2.0,1
16,30,-1,0.30434782608695654,4.155336037465061,0.012482170074282272,-1.3010299956639813,0.06948711710452028,0.0,1,0,0.0,0,2,-1.0,0
28,37,0,0.13846153846153847,3.3283796034387376,0.0001425219919485319,3.957271979992943,8.625511060640551e-05,2.5,-1,0,0.0,0,2,-1.0,0
61,88,0,0.18120805369127516,3.0293837776852097,0.0007590006365972719,5.281233414959686,0.0004090942745885944,3.5,1,0,0.0,0,2,-1.0,0
89,139,1,0.21929824561403508,3.326335860928751,0.0005408195435021627,4.345177616542704,0.0014123397785471602,3.0,1,0,0.0,1,0,3.0,1
42,61,0,0.18446601941747573,3.561101383649056,0.0015987763894240589,1.8293037728310249,0.00965098848673893,1.5,1,1,2.5,1,0,1.0,1
40,63,0,0.22330097087378642,3.857935264719429,0.0006023501829448707,0.13987908640123647,0.0226588425340827,2.5,-1,1,2.5,1,1,0.0,-1
86,138,-1,0.23214285714285715,2.842609239610562,0.009234997603689838,3.835056101720116,0.02285760431069746,0.0,1,0,1.0,-1,1,1.0,-1
54,90,-1,0.25,3.8055008581584002,0.001413665919184294,-0.41116827440579273,0.007835209725058667,0.0,1,0,1.0,-1,1,1.0,-1
17,27,1,0.22727272727272727,4.08278537031645,0.0030687750580766964,-0.266000713461613,0.08653838384788043,2.0,-1,1,0.0,1,0,2.0,-1
12,24,-1,0.3333333333333333,4.158362492095249,0.021292493348867764,-2.1426675035687315,0.07238241365054196,0.0,1,0,0.0,0,2,-1.0,0
39,56,0,0.17894736842105263,3.6483600109809315,0.0006607131780865201,2.795184589682424,0.004175908479838959,0.5,-1,0,2.5,1,0,2.0,-1
43,57,1,0.14,3.505149978319906,0.0001859323250648297,1.1945143418824673,0.0033300535353603966,1.0,1,0,0.0,0,2,-1.0,0
48,74,-1,0.21311475409836064,3.469822015978163,0.007375645268933192,0.7193312869837266,0.0024864187895224338,0.0,1,0,1.0,1,0,1.0,1
73,111,1,0.20652173913043478,3.456366033129043,0.003948131653665926,4.495821753385906,0.0049918905965891025,5.0,-1,1,0.0,0,2,-1.0,0
38,56,-1,0.19148936170212766,3.5440680443502757,0.0007966201639482504,1.8767949762007006,0.001153504600008637,0.0,1,0,2.0,-1,0,2.0,-1
